Ticker,Name,Sector,Market Cap,Company,Sales,EBITDA
TIF,Tiffany & Co.,Jewelry Stores,11.77B,Tiffany & Co.(TIF),61M,215B
RGDX,"Response Genetics, Inc",Medical Laboratories & Research,40.07M,"Response Genetics, Inc(RGDX)",159M,16B
APB,Asia Pacific Fund Inc.,,0,Asia Pacific Fund Inc.(APB),679B,902B
APC,Anadarko Petroleum Corporation,Independent Oil & Gas,39.79B,Anadarko Petroleum Corporation(APC),650B,392M
RGDO,"Regado Biosciences, Inc.",,111.03M,"Regado Biosciences, Inc.(RGDO)",140B,277M
MAR,"Marriott International, Inc.",Lodging,14.67B,"Marriott International, Inc.(MAR)",142B,913M
RYAAY,Ryanair Holdings plc,,13.26B,Ryanair Holdings plc(RYAAY),866B,457B
PRLB,"Proto Labs, Inc.",Machine Tools & Accessories,1.81B,"Proto Labs, Inc.(PRLB)",5B,254B
VITC,"Vitacost.com, Inc.",Catalog & Mail Order Houses,195.47M,"Vitacost.com, Inc.(VITC)",38B,716M
ZA,Zuoan Fashion Limited,Textile - Apparel Clothing,48.27M,Zuoan Fashion Limited(ZA),413B,121B
PRLS,Peerless Systems Corp.,Computers Wholesale,9.44M,Peerless Systems Corp.(PRLS),852M,647B
FR,First Industrial Realty Trust Inc.,REIT - Industrial,1.93B,First Industrial Realty Trust Inc.(FR),488M,320M
LULU,Lululemon Athletica Inc.,Textile - Apparel Clothing,8.58B,Lululemon Athletica Inc.(LULU),734M,895B
FT,Franklin Universal Trust Common,,0,Franklin Universal Trust Common(FT),768M,122M
BMI,Badger Meter Inc.,Scientific & Technical Instruments,790.02M,Badger Meter Inc.(BMI),821B,238M
BMO,Bank of Montreal,Money Center Banks,42.58B,Bank of Montreal(BMO),669M,605B
BMA,Banco Macro S.A.,Foreign Regional Banks,1.36B,Banco Macro S.A.(BMA),944B,215B
BMC,BMC Software Inc.,,0,BMC Software Inc.(BMC),475M,357M
MRIN,Marin Software Incorporated,Application Software,336.74M,Marin Software Incorporated(MRIN),345M,97B
BME,BlackRock Health Sciences Trust,Closed-End Fund - Equity,266.76M,BlackRock Health Sciences Trust(BME),263M,672B
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - Major,88.02B,Bristol-Myers Squibb Company(BMY),108M,42M
BMR,BioMed Realty Trust Inc.,REIT - Industrial,3.49B,BioMed Realty Trust Inc.(BMR),942M,102B
BMS,"Bemis Company, Inc.",Packaging & Containers,4.21B,"Bemis Company, Inc.(BMS)",959B,734M
CSX,CSX Corp.,Railroads,28.76B,CSX Corp.(CSX),212B,33B
CSQ,Calamos Strategic Total Return ,,0,Calamos Strategic Total Return (CSQ),434M,361B
CSV,Carriage Services Inc.,Personal Services,360.87M,Carriage Services Inc.(CSV),741M,228B
CSU,Capital Senior Living Corp.,Long-Term Care Facilities,668.75M,Capital Senior Living Corp.(CSU),72M,196B
PESI,Perma-Fix Environmental Services Inc.,Waste Management,35.33M,Perma-Fix Environmental Services Inc.(PESI),117B,33M
CSL,Carlisle Companies Incorporated,Rubber & Plastics,5.06B,Carlisle Companies Incorporated(CSL),14B,674M
CSC,Computer Sciences Corporation,Information Technology Services,8.23B,Computer Sciences Corporation(CSC),167M,732B
CSG,Chambers Street Properties,REIT - Office,1.81B,Chambers Street Properties(CSG),870B,276B
CSE,CapitalSource Inc.,Credit Services,2.81B,CapitalSource Inc.(CSE),399M,168M
AKS,AK Steel Holding Corporation,Steel & Iron,1.12B,AK Steel Holding Corporation(AKS),575B,760B
FEI,First Trust MLP and Energy Inco,,0,First Trust MLP and Energy Inco(FEI),889M,409B
FC,Franklin Covey Co.,Education & Training Services,335.33M,Franklin Covey Co.(FC),726B,707B
EPD,Enterprise Products Partners L.P.,Independent Oil & Gas,60.80B,Enterprise Products Partners L.P.(EPD),387B,57M
AKAM,"Akamai Technologies, Inc.",Internet Information Providers,8.44B,"Akamai Technologies, Inc.(AKAM)",195M,37M
LUK,Leucadia National Corporation,Meat Products,10.30B,Leucadia National Corporation(LUK),345B,543M
PBR,Petr,,88.96B,Petr(PBR),286M,785M
ZX,China Zenix Auto International Limited,Auto Parts,123.90M,China Zenix Auto International Limited(ZX),57B,752B
BBCN,"BBCN Bancorp, Inc.",Regional - Pacific Banks,1.31B,"BBCN Bancorp, Inc.(BBCN)",789B,817B
NMFC,New Mountain Finance Corporation,Asset Management,675.58M,New Mountain Finance Corporation(NMFC),998B,384B
DCOM,Dime Community Bancshares Inc.,Savings & Loans,601.93M,Dime Community Bancshares Inc.(DCOM),743M,80M
PLBC,Plumas Bancorp,Regional - Pacific Banks,29.65M,Plumas Bancorp(PLBC),674M,380M
