Ticker,Name,Sector,Market Cap,Company,Sales,EBITDA
TIF,Tiffany & Co.,Jewelry Stores,11.88B,Tiffany & Co. (TIF),3.97B,946.81M
RGDX,"Response Genetics, Inc",Medical Laboratories & Research,39.73M,"Response Genetics, Inc (RGDX)",20.55M,-4.69M
APB,Asia Pacific Fund Inc.,,0,Asia Pacific Fund Inc. (APB),0,0
APC,Anadarko Petroleum Corporation,Independent Oil & Gas,39.92B,Anadarko Petroleum Corporation (APC),14.36B,9.03B
RGDO,"Regado Biosciences, Inc.",,101.65M,"Regado Biosciences, Inc. (RGDO)",N/A,-21.89M
MAR,"Marriott International, Inc.",Lodging,14.78B,"Marriott International, Inc. (MAR)",2.61B,1.21B
RYAAY,Ryanair Holdings plc,,13.36B,Ryanair Holdings plc (RYAAY),6.52B,1.38B
PRLB,"Proto Labs, Inc.",Machine Tools & Accessories,1.81B,"Proto Labs, Inc. (PRLB)",152.69M,54.92M
VITC,"Vitacost.com, Inc.",Catalog & Mail Order Houses,194.80M,"Vitacost.com, Inc. (VITC)",370.47M,-6.66M
ZA,Zuoan Fashion Limited,Textile - Apparel Clothing,47.29M,Zuoan Fashion Limited (ZA),217.52M,51.69M
PRLS,Peerless Systems Corp.,Computers Wholesale,9.38M,Peerless Systems Corp. (PRLS),3.81M,N/A
FR,First Industrial Realty Trust Inc.,REIT - Industrial,1.92B,First Industrial Realty Trust Inc. (FR),340.25M,210.59M
LULU,Lululemon Athletica Inc.,Textile - Apparel Clothing,8.57B,Lululemon Athletica Inc. (LULU),1.56B,456.02M
FT,Franklin Universal Trust Common,,0,Franklin Universal Trust Common (FT),0,0
BMI,Badger Meter Inc.,Scientific & Technical Instruments,783.55M,Badger Meter Inc. (BMI),327.43M,50.89M
BMO,Bank of Montreal,Money Center Banks,42.93B,Bank of Montreal (BMO),15.97B,N/A
BMA,Banco Macro S.A.,Foreign Regional Banks,1.42B,Banco Macro S.A. (BMA),1.47B,N/A
BMC,BMC Software Inc.,,0,BMC Software Inc. (BMC),0,0
MRIN,Marin Software Incorporated,Application Software,334.13M,Marin Software Incorporated (MRIN),72.54M,-28.43M
BME,BlackRock Health Sciences Trust,Closed-End Fund - Equity,274.20M,BlackRock Health Sciences Trust (BME),3.38M,N/A
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - Major,87.51B,Bristol-Myers Squibb Company (BMY),16.14B,4.40B
BMR,BioMed Realty Trust Inc.,REIT - Industrial,3.45B,BioMed Realty Trust Inc. (BMR),575.22M,387.28M
BMS,"Bemis Company, Inc.",Packaging & Containers,4.22B,"Bemis Company, Inc. (BMS)",5.04B,622.70M
CSX,CSX Corp.,Railroads,29.16B,CSX Corp. (CSX),11.91B,4.59B
CSQ,Calamos Strategic Total Return ,,0,Calamos Strategic Total Return  (CSQ),0,0
CSV,Carriage Services Inc.,Personal Services,356.31M,Carriage Services Inc. (CSV),217.95M,50.38M
CSU,Capital Senior Living Corp.,Long-Term Care Facilities,669.73M,Capital Senior Living Corp. (CSU),338.11M,56.17M
PESI,Perma-Fix Environmental Services Inc.,Waste Management,35.45M,Perma-Fix Environmental Services Inc. (PESI),88.37M,-2.76M
CSL,Carlisle Companies Incorporated,Rubber & Plastics,5.05B,Carlisle Companies Incorporated (CSL),3.67B,538.90M
CSC,Computer Sciences Corporation,Information Technology Services,8.23B,Computer Sciences Corporation (CSC),14.28B,2.14B
CSG,Chambers Street Properties,REIT - Office,1.80B,Chambers Street Properties (CSG),232.50M,128.90M
CSE,CapitalSource Inc.,Credit Services,2.83B,CapitalSource Inc. (CSE),410.87M,N/A
AKS,AK Steel Holding Corporation,Steel & Iron,1.12B,AK Steel Holding Corporation (AKS),5.53B,264.50M
FEI,First Trust MLP and Energy Inco,,0,First Trust MLP and Energy Inco (FEI),0,0
FC,Franklin Covey Co.,Education & Training Services,331.50M,Franklin Covey Co. (FC),190.92M,27.84M
EPD,Enterprise Products Partners L.P.,Independent Oil & Gas,61.07B,Enterprise Products Partners L.P. (EPD),45.70B,4.47B
AKAM,"Akamai Technologies, Inc.",Internet Information Providers,8.44B,"Akamai Technologies, Inc. (AKAM)",1.52B,556.64M
LUK,Leucadia National Corporation,Meat Products,10.33B,Leucadia National Corporation (LUK),10.44B,1.34B
PBR,Petr,,89.88B,Petr (PBR),145.99B,34.34B
ZX,China Zenix Auto International Limited,Auto Parts,134.22M,China Zenix Auto International Limited (ZX),577.29M,65.26M
BBCN,"BBCN Bancorp, Inc.",Regional - Pacific Banks,1.32B,"BBCN Bancorp, Inc. (BBCN)",275.57M,N/A
NMFC,New Mountain Finance Corporation,Asset Management,679.19M,New Mountain Finance Corporation (NMFC),78.26M,N/A
DCOM,Dime Community Bancshares Inc.,Savings & Loans,598.04M,Dime Community Bancshares Inc. (DCOM),127.91M,N/A
PLBC,Plumas Bancorp,Regional - Pacific Banks,29.74M,Plumas Bancorp (PLBC),22.58M,N/A
AYN,Alliance New York Municipal Inc,,0,Alliance New York Municipal Inc (AYN),0,0
GTIM,Good Times Restaurants Inc.,Restaurants,9.28M,Good Times Restaurants Inc. (GTIM),20.16M,195.00K
AYI,"Acuity Brands, Inc.",Diversified Electronics,4.57B,"Acuity Brands, Inc. (AYI)",2.09B,286.40M
MJI,Blackrock MuniYield New Jersey ,,0,Blackrock MuniYield New Jersey  (MJI),0,0
ZF,"Zweig Fund, Inc. (The) Common S",,0,"Zweig Fund, Inc. (The) Common S (ZF)",0,0
AEH,AEGON N.V. Perp. Cap Secs.,,0,AEGON N.V. Perp. Cap Secs. (AEH),0,0
